exercise,stage2,official_cond,official_nocond
ElbowPunch,11.56,11.45,12.26
FrontKick,7.06,7.33,7.26
FrontPunch,7.50,7.67,7.61
HighKick,9.08,9.60,9.64
HookPunch,9.67,9.65,9.80
JumpingJack,16.88,16.68,17.02
KneeKick,7.23,7.71,7.77
LegBack,7.66,8.16,8.41
LegCross,6.38,7.09,6.68
RonddeJambe,19.80,18.93,22.65
Running,7.45,7.54,7.56
Shuffle,7.80,8.90,8.29
SideLunges,10.73,12.77,12.28
SlowSkater,9.78,10.91,10.71
Squat,12.58,13.86,13.54
Average,10.08,10.55,10.77
