exercise,stage2,official_cond,official_nocond
ElbowPunch,12.47,11.45,12.26
FrontKick,7.39,7.33,7.26
FrontPunch,7.83,7.67,7.61
HighKick,9.45,9.60,9.64
HookPunch,10.11,9.65,9.80
JumpingJack,18.83,16.68,17.02
KneeKick,7.53,7.71,7.77
LegBack,7.94,8.16,8.41
LegCross,6.68,7.09,6.68
RonddeJambe,21.51,18.93,22.65
Running,8.00,7.54,7.56
Shuffle,8.57,8.90,8.29
SideLunges,11.92,12.77,12.28
SlowSkater,10.60,10.91,10.71
Squat,13.44,13.86,13.54
Average,10.82,10.55,10.77
