exercise,stage2,official_cond
ElbowPunch,0.041,0.072
FrontKick,0.041,0.073
FrontPunch,0.034,0.068
HighKick,0.066,0.129
HookPunch,0.036,0.076
JumpingJack,0.042,0.089
KneeKick,0.054,0.102
LegBack,0.049,0.090
LegCross,0.039,0.073
RonddeJambe,0.057,0.103
Running,0.040,0.066
Shuffle,0.049,0.074
SideLunges,0.050,0.114
SlowSkater,0.053,0.113
Squat,0.044,0.112
Average,0.046,0.090
