exercise,stage2,official_cond,official_nocond
ElbowPunch,11.59,11.45,12.26
FrontKick,7.24,7.33,7.26
FrontPunch,7.57,7.67,7.61
HighKick,9.18,9.60,9.64
HookPunch,10.13,9.65,9.80
JumpingJack,17.29,16.68,17.02
KneeKick,7.39,7.71,7.77
LegBack,7.86,8.16,8.41
LegCross,6.57,7.09,6.68
RonddeJambe,19.46,18.93,22.65
Running,7.23,7.54,7.56
Shuffle,8.07,8.90,8.29
SideLunges,11.25,12.77,12.28
SlowSkater,10.10,10.91,10.71
Squat,12.89,13.86,13.54
Average,10.25,10.55,10.77
