exercise,stage2,official_cond,official_nocond
ElbowPunch,11.50,11.45,12.26
FrontKick,7.08,7.33,7.26
FrontPunch,7.75,7.67,7.61
HighKick,9.07,9.60,9.64
HookPunch,10.00,9.65,9.80
JumpingJack,17.71,16.68,17.02
KneeKick,7.25,7.71,7.77
LegBack,7.81,8.16,8.41
LegCross,6.32,7.09,6.68
RonddeJambe,19.28,18.93,22.65
Running,7.33,7.54,7.56
Shuffle,7.69,8.90,8.29
SideLunges,11.14,12.77,12.28
SlowSkater,10.24,10.91,10.71
Squat,13.04,13.86,13.54
Average,10.21,10.55,10.77
